sources avg max app min app
5 33.8319 36.0235 10 32.7378 9
10 45.2992 46.2034 5 43.1779 4
20 47.31147 50.4499 10 44.6689 7
30 49.05424 51.5241 8 47.2028 10
50 54.30245 56.5399 7 52.7854 4
70 56.30547 57.6781 6 53.3657 5
100 59.91424 62.2864 6 58.136 8
200 66.67316 68.0581 10 64.2752 8
300 69.52783 71.5415 3 67.3185 5
500 76.16082 77.4498 7 74.6427 10
