sources avg max app min app
5 50.0397 60.1265 1 41.9753 8
10 55.23521 62.7254 1 48.0519 8
20 55.62399 62.9804 1 51.8615 9
30 57.73624 64.5372 1 52.5376 8
50 61.37272 67.3411 1 56.4027 10
70 62.03389 67.9649 1 58.1211 7
100 64.82908 71.3877 1 59.4673 9
200 68.86118 72.848 1 65.2229 8
300 72.65213 76.5336 1 70.4847 7
500 75.88349 79.6976 1 72.996 7
