sources avg max app min app
5 26.82205 28.0782 5 25.7564 2
10 25.27625 25.8087 5 24.8166 1
20 22.23871 22.6655 10 21.5874 8
30 24.4853 24.7944 5 24.1638 2
50 24.87358 25.1963 9 24.6986 1
70 27.3691 27.6876 8 27.188 3
100 30.05871 30.4126 7 29.8477 4
200 34.31743 34.5434 4 34.1774 3
300 34.66598 34.8739 5 34.5097 7
500 38.49374 38.6745 10 38.3533 6
