sources avg max app min app
5 3.9494 5.3613 2 2.5552 9
10 5.02788 5.6693 3 4.0169 10
20 5.17346 5.7419 2 4.2254 10
30 5.40728 6.3981 2 4.1625 10
50 5.69117 6.5642 3 4.5063 8
70 5.97446 6.854 5 4.8511 10
100 5.85171 6.4354 5 5.1385 10
200 8.48857 9.0141 8 7.6825 10
300 10.22503 10.9467 8 8.9229 1
500 10.9696 12.8214 9 9.2673 1
