sources avg max app min app
5 66.7958 85.9555 1 51.6861 8
10 52.07005 74.5248 1 38.1374 9
20 45.35926 70.2953 1 33.1119 9
30 44.09571 68.252 1 29.6148 10
50 42.75 66.9567 1 29.8283 10
70 43.07896 66.9261 1 29.4463 10
100 40.99203 65.8204 1 27.1942 10
200 36.48491 61.1206 1 24.7619 10
300 36.52145 61.6177 1 25.7606 10
500 31.08453 56.2536 1 21.1798 10
