time avg max app min app
0 0.0 0.0 1 0.0 1
360 37.56981 38.531 9 36.2702 10
720 52.38024 53.2879 4 51.5633 3
1080 59.44272 60.4732 8 58.6311 3
1440 64.44045 65.6787 8 63.7766 7
1800 67.2788 68.2192 8 66.4659 5
2160 69.26061 70.197 4 68.5834 5
2520 71.06607 71.8636 4 70.3541 5
2880 72.43476 73.1943 10 71.6137 5
3240 73.47774 74.4707 10 72.8003 5
3600 74.59279 75.8717 10 73.8773 5
