sources avg max app min app
5 23.30711 24.5415 6 22.1922 7
10 32.59987 34.1465 4 30.1052 10
20 36.24031 37.9704 6 33.999 10
30 37.46698 38.7401 6 36.1275 7
50 41.07537 42.4385 9 39.7806 8
70 42.79442 44.5132 10 41.5461 5
100 43.47988 44.266 10 42.2913 7
200 51.53381 54.03 10 49.3779 6
300 52.91582 55.508 7 50.502 10
500 59.89785 61.129 9 58.3513 10
