sources avg max app min app
5 56.26739 58.0698 5 55.216 3
10 58.16548 59.7967 9 56.3138 8
20 60.00873 63.5756 10 57.4844 8
30 61.16173 65.2972 6 58.2043 9
50 65.39031 66.9954 10 63.4529 6
70 66.69472 69.3123 7 64.4923 9
100 69.66626 71.1924 6 66.9874 10
200 74.59279 75.8717 10 73.8773 5
300 75.91924 77.901 4 73.4288 10
500 80.11437 81.2267 9 79.2681 3
