sources avg max app min app
5 95.58993 95.6171 4 95.5744 3
10 91.28868 91.3208 10 91.2551 6
20 84.89991 84.9765 10 84.856 5
30 85.01019 85.0699 10 84.9586 5
50 84.13197 84.1744 10 84.0863 5
70 83.43471 83.5234 10 83.3675 7
100 82.48284 82.5605 10 82.4521 6
200 78.36705 78.4248 10 78.3276 4
300 76.75604 76.8335 10 76.7024 6
500 73.28946 73.3713 10 73.2482 6
