sources avg max app min app
5 9.7622 21.3517 1 3.7335 10
10 8.29461 17.0567 1 6.044 6
20 9.29642 19.7995 1 5.8541 7
30 8.84211 18.7794 1 4.5075 9
50 9.1169 16.8311 1 5.2846 10
70 8.71731 16.5961 1 5.9434 10
100 9.74136 18.6226 1 5.0825 8
200 11.21457 15.584 1 9.1806 7
300 13.17345 16.772 1 11.7268 9
500 13.26407 15.2751 1 11.8514 7
