time avg max app min app
0 0.0 0.0 1 0.0 1
360 25.11034 27.633 1 22.6931 7
720 38.77583 41.6944 1 35.4751 7
1080 46.16645 49.0115 1 42.447 7
1440 50.46144 53.4738 1 46.3887 7
1800 53.23821 56.4948 1 48.7127 7
2160 55.64484 59.0078 1 51.219 7
2520 57.41373 60.68 1 53.2468 7
2880 58.90733 62.075 1 54.91 7
3240 60.36984 63.5994 1 56.3226 7
3600 61.56264 64.9483 1 57.5074 7
