sources avg max app min app
5 52.05751 64.6931 1 41.5567 10
10 43.8629 57.1868 1 36.0521 9
20 40.8287 54.5887 1 31.3757 9
30 40.79243 54.5589 1 32.5978 10
50 38.1178 51.0907 1 31.4215 8
70 37.51301 51.3666 1 29.2507 10
100 35.9596 48.8384 1 27.5246 10
200 29.52798 42.5791 1 22.099 10
300 28.52481 41.9142 1 20.4107 10
500 24.11062 35.9869 1 16.1704 10
