sources avg max app min app
5 44.04993 48.6705 9 40.2513 8
10 48.5433 51.0581 10 46.5294 9
20 51.2333 53.0966 5 48.3781 9
30 52.72369 53.4459 9 51.8329 8
50 56.24516 58.8928 8 54.5063 7
70 56.68502 57.6451 10 55.5402 2
100 59.12983 61.735 10 58.2004 5
200 62.27359 64.4957 9 60.5258 7
300 66.19997 66.891 7 64.6731 6
500 68.84272 70.0009 5 67.4881 7
