time avg max app min app
0 0.0 0.0 1 0.0 1
360 20.68482 21.6887 8 19.1672 10
720 30.50066 31.9126 8 28.417 10
1080 35.22158 36.6604 8 33.2804 10
1440 38.69549 40.464 8 36.7769 10
1800 41.6958 43.6741 8 39.7012 10
2160 43.8077 46.1289 8 41.7355 10
2520 45.32633 47.8554 8 43.452 10
2880 46.95633 49.5279 8 44.787 10
3240 48.04272 50.4991 8 46.1538 10
3600 49.05424 51.5241 8 47.2028 10
