sources avg max app min app
5 45.86251 51.3152 1 41.9257 7
10 54.75235 59.3681 1 51.3006 8
20 55.06037 59.3773 1 51.3998 10
30 58.20716 61.3567 1 55.7135 6
50 61.56264 64.9483 1 57.5074 7
70 62.66997 65.6247 1 60.4296 10
100 65.12509 68.0703 1 62.7993 6
200 70.31823 72.5419 1 67.8749 9
300 72.55583 74.97 1 70.2312 8
500 76.57986 78.2114 1 73.3147 9
