time avg max app min app
0 0.0 0.0 1 0.0 1
360 27.53636 59.0 1 16.3636 10
720 29.73636 58.6364 1 18.8182 10
1080 29.01819 57.8182 1 17.7273 10
1440 28.49091 56.9091 1 17.5455 10
1800 28.09089 56.2727 1 17.3636 10
2160 27.51818 55.8182 1 16.6364 10
2520 27.1909 55.0909 1 16.4545 10
2880 26.92726 54.6364 1 16.2727 10
3240 26.71818 54.4545 1 16.1818 10
3600 26.55454 54.1818 1 16.0 10
