time avg max app min app
0 0 0 9 0.0 2
360 38.32727 38.8182 2 38.0 8
720 38.39998 38.6364 10 38.2727 4
1080 38.59092 38.9091 10 38.3636 4
1440 38.42725 38.7273 10 38.2727 1
1800 38.43633 38.7273 10 38.3636 1
2160 38.40906 38.6364 10 38.1818 6
2520 38.32726 38.5455 5 38.0909 6
2880 38.32725 38.6364 10 38.1818 1
3240 38.23634 38.4545 10 38.0 6
3600 38.21816 38.4545 10 38.0 6
