sources avg max app min app
5 29.69703 33.3322 1 27.327 7
10 39.35528 42.8443 1 36.0841 8
20 42.24717 45.5832 1 39.0315 10
30 44.98534 47.3409 1 43.1154 6
50 47.71375 50.5437 1 43.8511 7
70 49.06336 52.008 1 46.7497 10
100 50.86241 53.9608 1 48.8383 6
200 56.52516 58.9955 1 54.1155 9
300 58.65888 61.5357 1 56.2846 10
500 63.56866 65.6766 1 59.9859 9
