message_size avg max app min app
0.5 44.70523 49.9179 1 42.5289 6
1 44.73211 50.2589 1 40.9744 10
5 44.83777 49.9995 1 41.3919 9
10 44.74546 50.2295 1 40.5504 9
20 44.14311 49.6 1 38.7474 10
30 44.08691 49.9381 1 40.7219 10
50 43.11636 49.7694 1 37.5501 9
75 41.10178 49.1794 1 36.7087 10
100 38.9656 48.8406 1 33.0173 8
200 31.82214 37.9226 1 28.8346 3
