message_size avg max app min app
0.5 24.84458 25.1155 7 24.3127 4
1 24.84458 25.1155 7 24.3127 4
5 24.87358 25.1963 9 24.6986 1
10 24.83637 25.0222 3 24.6452 6
20 24.72451 25.5627 1 24.199 6
30 25.03443 25.8252 10 24.1751 7
50 27.4498 28.1191 9 26.5741 2
75 29.94301 31.3664 4 28.883 9
100 32.08993 33.4179 1 29.7304 9
200 39.99561 44.0453 10 37.4481 9
