message_size avg max app min app
0.5 65.49539 67.7323 10 64.2027 9
1 64.96671 65.8318 9 64.2692 4
5 65.47052 66.2377 9 64.5271 3
10 65.12036 67.2767 6 62.7672 7
20 65.02337 66.0106 9 63.4483 10
30 64.08482 65.5722 5 60.1535 9
50 62.09296 64.9315 8 59.7122 10
75 58.05248 61.7255 10 55.4706 6
100 53.62255 60.0 10 51.4907 8
200 30.15631 60.7672 10 19.1378 5
