message_size avg max app min app
0.5 5.87999 6.5838 3 4.3478 9
1 5.7107 6.0871 2 5.4408 5
5 5.79812 6.2659 5 4.8409 9
10 5.63191 6.3989 3 4.7853 9
20 6.2057 7.1263 1 5.2632 10
30 6.25904 6.9735 2 5.71 6
50 5.36787 6.1536 2 4.2951 9
75 4.85063 5.7396 1 4.024 9
100 4.41096 5.1462 2 3.8889 10
200 2.90088 3.414 2 1.7486 1
