message_size avg max app min app
0.5 61.4767 64.587 1 59.2661 7
1 60.97499 64.4912 1 58.5511 8
5 62.07782 64.9106 8 58.7347 9
10 61.7075 65.0655 1 59.4248 8
20 61.0069 64.3022 1 57.6208 10
30 61.15817 64.4938 1 57.6876 10
50 61.13179 64.3343 1 57.5842 8
75 60.9204 64.1988 1 58.1154 6
100 58.88393 63.6548 1 54.3666 10
200 52.47936 54.8201 9 49.5996 7
