message_size avg max app min app
0.5 43.20692 66.8881 1 30.0526 10
1 42.77141 66.696 1 28.6484 10
5 41.86425 66.7482 1 24.6542 10
10 42.18409 66.8705 1 30.2935 9
20 42.71823 65.6995 1 29.1175 10
30 43.79821 65.7137 1 31.9043 10
50 44.81303 66.5626 1 30.5865 10
75 46.16174 67.6947 1 32.5877 10
100 46.5911 69.9854 1 33.8839 10
200 48.44914 80.6331 1 25.6725 10
