time avg max app min app
0 0.0 0.0 1 0.0 1
360 23.76262 26.9316 1 21.3545 10
720 37.44166 41.1212 1 34.1049 8
1080 45.28714 48.534 1 42.0524 8
1440 49.85134 53.0334 1 46.1238 8
1800 52.76999 56.0022 1 49.3028 8
2160 55.22256 58.5746 1 51.8405 8
2520 57.0217 60.1789 1 53.681 8
2880 58.45778 61.6356 1 55.3263 8
3240 59.86292 63.0924 1 56.7114 10
3600 61.15817 64.4938 1 57.6876 10
