time avg max app min app
0 0.0 0.0 1 0.0 1
360 25.62728 39.9091 1 17.4545 10
720 30.05455 45.0 1 21.9091 10
1080 32.07274 46.7273 1 22.7273 10
1440 33.19999 48.1818 1 23.6364 10
1800 34.33636 49.6364 1 25.3636 10
2160 35.35455 50.7273 1 25.4545 10
2520 36.22727 51.6364 1 25.9091 10
2880 36.94546 52.2727 1 26.5455 10
3240 37.5818 52.9091 1 27.4545 10
3600 38.25455 53.5455 1 28.2727 10
