message_size avg max app min app
0.5 56.34993 57.8178 8 55.4145 4
1 56.59494 60.5398 9 55.5782 7
5 55.9377 56.6745 10 55.1263 4
10 55.6325 58.3222 5 52.3427 10
20 54.00318 55.0857 8 51.3552 6
30 54.0088 56.0674 10 52.4032 5
50 48.99951 50.0617 10 48.1436 9
75 42.21385 46.437 1 39.5781 9
100 37.07776 43.5109 10 34.5879 8
200 16.96566 41.6135 10 9.1119 5
