message_size avg max app min app
0.5 52.50299 55.1581 6 51.1403 4
1 51.80646 53.9004 6 49.0655 5
5 52.11425 55.0465 7 49.9598 8
10 52.0017 53.171 2 49.3041 9
20 52.02836 53.6154 10 49.3139 9
30 51.5512 53.6771 5 48.5594 9
50 51.32452 55.2248 10 47.1873 7
75 50.21892 52.8366 7 47.3298 6
100 48.99915 50.6524 2 44.1441 9
200 42.27389 49.0611 10 38.5536 1
