message_size avg max app min app
0.5 84.09171 84.1344 10 84.0629 5
1 84.09171 84.1344 10 84.0629 5
5 84.13197 84.1744 10 84.0863 5
10 84.17072 84.1984 4 84.1322 5
20 87.26208 87.3025 6 87.1769 1
30 87.48163 87.5568 1 87.3453 5
50 89.58908 90.1282 1 89.185 10
75 88.44788 93.0018 1 82.1454 10
100 88.49023 94.6684 1 80.0557 10
200 84.7772 98.4696 1 65.332 10
