message_size avg max app min app
0.5 41.82407 44.6034 9 38.5005 10
1 41.96444 45.2748 10 40.5111 5
5 41.72554 43.0308 7 39.567 9
10 40.77848 42.2782 4 35.9557 9
20 39.52011 40.968 5 37.5938 9
30 39.57946 41.2405 7 37.4226 8
50 34.19776 35.3969 6 32.1115 10
75 30.08117 36.472 10 28.2358 3
100 25.86279 36.7428 10 23.4367 3
200 11.46638 41.8794 10 6.1176 3
