time avg max app min app
0 0.0 0.0 1 0.0 1
1 42.86439 44.6032 4 41.6928 9
2 47.0889 48.7302 4 45.1411 9
3 48.59908 51.1111 10 46.0815 9
4 50.05665 52.381 10 48.2759 9
5 51.28392 53.6508 10 49.9287 3
6 53.60363 56.0317 4 51.4045 8
7 57.31061 60.0 10 54.7753 8
8 60.85241 63.4921 10 57.9937 9
9 63.86251 67.4058 6 61.1285 9
10 66.56744 69.8448 6 64.5768 9
