time avg max app min app
0 0 0 8 0.0 7
360 85.19089 85.2727 1 85.0 5
720 85.17271 85.2727 3 85.0909 5
1080 85.09999 85.1818 5 85.0909 1
1440 85.00909 85.0909 2 85.0 1
1800 85.12726 85.1818 1 84.9091 2
2160 85.10908 85.1818 3 85.0909 1
2520 85.21816 85.2727 1 85.0909 9
2880 85.20907 85.3636 10 85.0909 7
3240 84.96364 85.0 1 84.9091 3
3600 84.89092 84.9091 1 84.8182 6
