relay_time avg max app min app
0 6.90253 7.1456 6 6.6979 4
300 78.26159 78.4118 10 78.1708 4
600 82.74137 82.8088 10 82.6875 5
900 84.14741 84.204 10 84.1052 4
1200 85.14798 85.211 10 85.0863 5
1500 85.21899 85.2634 2 85.1688 5
1800 85.48666 85.5217 10 85.4533 5
2100 85.96859 86.0139 10 85.9142 5
2400 85.74544 85.7859 2 85.7123 5
2700 85.88076 85.9036 2 85.853 4
3000 86.27681 86.3209 10 86.2264 5
3300 86.02957 86.0781 2 85.9994 5
3600 86.09266 86.1163 10 86.0614 5
