relay_time avg max app min app
0 40.81311 42.3429 10 39.4528 5
300 50.71688 52.147 9 47.6366 7
600 54.50838 56.1727 7 53.6343 8
900 55.64342 57.7433 4 53.7896 8
1200 56.10422 57.5888 6 54.2145 7
1500 57.19241 57.9518 7 55.6637 9
1800 57.23785 58.967 10 55.914 6
2100 56.86487 57.7485 4 56.0158 8
2400 57.88949 59.0176 8 57.0195 3
2700 57.46249 59.5738 8 55.2882 10
3000 58.08525 59.6563 9 56.6801 8
3300 57.95803 59.9441 9 56.9572 10
3600 57.38233 59.2758 10 54.9094 8
