relay_time avg max app min app
0 41.22236 43.4216 9 39.9255 8
300 45.32283 49.9635 1 42.4911 6
600 48.1237 53.2003 1 45.1155 5
900 49.95107 56.3406 1 44.3446 10
1200 51.06422 57.7263 1 45.4081 10
1500 52.81002 59.1059 1 49.0409 10
1800 53.40821 59.6357 1 49.2928 10
2100 52.70198 59.9871 1 47.0474 10
2400 53.21022 59.7736 1 46.7545 10
2700 53.02756 59.5859 1 49.2744 10
3000 52.40052 59.0531 1 47.8421 10
3300 53.01658 58.8738 1 49.2208 6
3600 52.33597 58.0431 1 48.5195 9
