relay_time avg max app min app
0 2.07034 2.6486 9 1.6551 1
300 8.97479 16.6136 1 6.4972 10
600 11.09173 19.8651 1 8.1114 8
900 10.90182 18.941 1 7.365 8
1200 11.63889 18.6976 1 8.1048 8
1500 11.45096 19.4424 1 5.7227 10
1800 11.17634 18.4898 1 7.1429 10
2100 10.72676 17.4223 1 6.7867 10
2400 11.10899 17.865 1 7.6959 10
2700 10.3648 16.4421 1 7.1559 7
3000 10.21958 16.0162 1 6.6146 9
3300 10.66384 15.8927 1 6.6156 9
3600 10.53482 15.027 1 7.2971 9
