relay_time avg max app min app
0 46.68032 85.1452 1 26.3411 10
300 46.71509 85.3561 1 24.9509 10
600 47.17023 84.7503 1 22.6639 10
900 46.79689 85.6326 1 23.5912 10
1200 47.05341 85.3328 1 25.2079 10
1500 46.78732 85.5247 1 26.7465 10
1800 46.83351 85.2747 1 27.4499 8
2100 46.94521 85.3168 1 25.6012 10
2400 47.37855 84.5205 1 24.9735 10
2700 47.0893 85.6512 1 22.311 10
3000 47.21085 85.5203 1 24.385 10
3300 46.87225 85.0073 1 25.2582 10
3600 46.93516 85.0789 1 24.3875 10
