relay_time avg max app min app
0 0.0 0.0 1 0.0 1
300 26.97196 54.6925 1 17.2787 10
600 37.08571 62.9216 1 25.0639 10
900 42.99002 66.1299 1 30.7031 10
1200 46.36621 68.35 1 32.0467 10
1500 48.45825 69.4784 1 32.6591 10
1800 50.25832 70.2275 1 39.3346 10
2100 50.73563 69.6852 1 39.3352 10
2400 51.69947 69.8253 1 39.7935 10
2700 51.5431 68.865 1 40.9124 7
3000 51.66458 67.9234 1 42.3583 9
3300 51.09368 66.7534 1 40.6212 9
3600 50.13238 64.9643 1 40.211 10
