time avg max app min app
0 0.0 0.0 1 0.0 1
360 26.9912 32.3754 1 24.9564 8
720 39.46648 45.4085 1 36.9479 7
1080 45.56796 50.3638 1 42.7594 6
1440 48.81328 53.3665 1 45.7754 6
1800 50.76517 55.4665 1 47.615 6
2160 52.04309 56.5626 1 48.7487 6
2520 53.49015 57.8981 1 50.3743 6
2880 54.43271 58.6626 1 51.1658 6
3240 55.27469 59.4087 1 51.9144 6
3600 56.0189 60.0534 1 52.7059 6
