relay_time avg max app min app
0 51.92007 54.1541 9 50.2088 10
300 56.0189 60.0534 1 52.7059 6
600 58.67359 63.4331 1 55.1002 10
900 61.09454 67.3224 1 54.425 10
1200 62.83334 69.1114 1 57.4675 10
1500 65.51076 71.9075 1 60.8612 10
1800 67.03105 73.4202 1 62.3847 10
2100 66.91568 74.3642 1 60.6765 10
2400 68.23468 75.425 1 60.4006 10
2700 68.66689 75.816 1 63.4103 7
3000 68.48602 75.4989 1 63.8074 7
3300 69.27322 76.0615 1 64.5455 10
3600 67.95456 74.9058 1 62.7509 10
