0	106	66
1	125	66
2	112	65
3	131	74
4	164	76
5	6	4
6	3	2
7	10	4
8	4	2
9	4	4
10	7	3
11	9	5
12	8	5
13	5	4
14	7	3
15	10	4
16	2	2
17	13	4
18	5	4
19	6	3
20	9	4
21	11	5
22	6	4
23	3	2
24	10	3
25	3	2
26	5	4
27	8	3
28	7	4
29	5	4
30	9	4
31	8	4
32	8	4
33	4	1
34	5	3
35	7	4
36	11	5
37	4	3
38	3	3
39	9	4
40	4	3
41	6	3
42	6	3
43	6	3
44	8	5
45	7	4
46	5	3
47	2	2
48	6	3
49	7	5
50	5	4
51	6	4
52	5	3
53	5	3
54	3	2
55	4	4
56	7	4
57	6	4
58	5	4
59	7	4
60	8	4
61	5	4
62	5	4
63	8	4
64	8	3
65	7	4
66	3	2
67	4	2
68	7	5
69	1	1
70	6	3
71	8	4
72	11	4
73	8	4
74	6	3
75	6	4
76	7	4
77	10	3
78	7	3
79	10	4
80	5	3
81	6	5
82	10	5
83	6	3
84	11	5
85	4	3
86	5	3
87	3	2
88	5	4
89	6	3
90	2	2
91	7	3
92	4	3
93	7	3
94	11	4
95	11	5
96	4	2
97	8	3
98	4	2
99	8	4
100	8	5
101	9	5
102	5	2
103	8	4
104	2	2
