check_interval avg ci
0 0.0 0.0
1 0.0206575757576 0.00350817931496
2 0.0602987012987 0.0142638751737
3 0.11668037518 0.0248960422004
4 0.179893323343 0.0265657142337
5 0.248054476079 0.0283040225108
6 0.310095431867 0.0310453401375
7 0.364290259102 0.0326374811855
8 0.414235971812 0.034050758881
9 0.458297968785 0.0337408358961
10 0.496117922037 0.0329159321609
11 0.529825741061 0.0332107255006
