check_interval avg ci
0 0.0 0.0
1 0.0153454545455 0.00362363093909
2 0.039212987013 0.0112287249987
3 0.0620028138528 0.0163492144274
4 0.0852463733236 0.0168243310293
5 0.108204073956 0.0154112313714
6 0.128487452473 0.015490974913
7 0.148117707797 0.0159276820195
8 0.166743167928 0.0163809824559
9 0.184377278076 0.0167982558921
10 0.200754713436 0.0177563159962
11 0.217111772214 0.0177419236683
